662_0	303562	303728
1453_0	559601	559715
2118_0	1323983	1324204
6131_0	1351536	1351632
6131_1	1351632	1351698
4265_0	805515	805840
120_0	522783	523021
3821_0	84292	84578
2399_0	329112	329284
1955_0	142774	142976
2399_1	329284	329388
1192_0	398763	398854
4767_0	264179	264332
622_0	209666	209795
4767_1	264332	264401
1413_0	457615	457801
3560_0	503459	503557
1694_0	1237838	1237976
4225_0	710368	710549
4225_1	710549	710689
1915_0	1404947	1405300
361_0	374632	374906
1152_0	103962	104142
4727_0	810103	810180
1152_1	104142	104227
4727_1	810180	810278
863_0	96041	96216
3520_0	619421	619609
2098_0	1408128	1408283
1654_0	1010276	1010337
2098_1	1408283	1408503
1654_1	1010337	1010508
2319_0	145621	145748
4466_0	1278345	1278414
321_0	251827	252102
4466_1	1278414	1278487
4466_2	1278487	1278610
1112_0	202354	202505
1112_1	202505	202645
1393_0	659882	660033
4968_0	650415	650601
823_0	348195	348369
4968_1	650601	650753
6071_0	212905	212998
2058_0	93886	94140
6071_1	212998	213269
1614_0	1105284	1105368
1614_1	1105368	1105518
3761_0	199626	199918
1895_0	1163882	1164036
4426_0	464034	464186
562_0	730475	730636
1353_0	747692	747814
4928_0	68093	68393
6031_0	117719	118018
2018_0	195870	196028
4165_0	927969	928101
3721_0	289473	289640
4165_1	928101	928168
3721_1	289640	289699
2299_0	812993	813168
1855_0	1267876	1267969
2299_1	813168	813342
1092_0	128173	128257
4667_0	488098	488232
522_0	641403	641531
1092_1	128257	128476
1313_0	851562	851867
3460_0	286446	286597
1594_0	534124	534311
1594_1	534311	534477
4125_0	1020534	1020700
6272_0	526552	526767
2259_0	306311	306382
2259_1	306382	306538
1815_0	1374326	1374467
261_0	606143	606356
3962_0	1215418	1215740
1052_0	1232629	1232765
4627_0	748959	749217
4627_1	749217	749292
763_0	1077009	1077089
763_1	1077089	1077185
3420_0	197077	197130
3420_1	197130	197239
1554_0	840261	840424
6232_0	437603	437730
2219_0	414698	414817
6232_1	437730	437891
2219_1	414817	414988
221_0	714613	714707
3922_0	1113843	1114130
221_1	714707	714819
1012_0	1344480	1344572
1293_0	371750	371918
4868_0	114375	114475
723_0	1176064	1176201
4868_1	114475	114565
723_1	1176201	1176373
4868_2	114565	114678
1514_0	734360	734502
3661_0	1188470	1188748
1795_0	1149603	1149792
1795_1	1149792	1149875
4326_0	472507	472769
462_0	956194	956250
1253_0	677899	678006
4828_0	10007	10091
4828_1	10091	10350
964_0	25270	25342
4065_0	153673	153806
964_1	25342	25504
3621_0	357882	357994
3621_1	357994	358175
2199_0	1117467	1117539
1755_0	1054837	1054943
2199_1	1117539	1117607
4567_0	674852	674960
422_0	866008	866180
1213_0	573417	573583
3360_0	490777	490972
1494_0	261597	261866
924_0	739397	739498
4025_0	43640	43775
4025_1	43775	43868
4025_2	43868	43957
6172_0	35159	35487
2159_0	1217160	1217302
1715_0	962128	962285
161_0	421841	422088
3862_0	1402969	1403323
1996_0	37144	37378
4527_0	131573	131714
663_0	303728	303998
3320_0	404134	404344
1454_0	559388	559601
2119_0	1323705	1323785
6132_0	1352164	1352483
2119_1	1323785	1323983
4266_0	805170	805515
121_0	522556	522783
3822_0	84578	84689
3822_1	84689	84925
1956_0	142129	142336
1956_1	142336	142484
1193_0	398854	398977
4768_0	265703	265927
623_0	209795	209957
1414_0	458737	458906
1414_1	458906	459116
3561_0	503287	503382
3561_1	503382	503459
1695_0	1237643	1237838
4226_0	710058	710273
4226_1	710273	710368
1916_0	236733	236834
362_0	374547	374632
1153_0	104227	104413
4728_0	363482	363790
1153_1	104413	104592
864_0	252364	252547
864_1	252547	252640
3521_0	619269	619421
2099_0	1408503	1408667
1655_0	1010032	1010276
4467_0	1277987	1278036
322_0	251682	251827
4467_1	1278036	1278119
4467_2	1278119	1278345
1113_0	202645	202727
1113_1	202727	202901
3260_0	229099	229318
1394_0	658788	658904
4969_0	985216	985455
824_0	348369	348582
6072_0	213269	213451
2059_0	94140	94472
6072_1	213451	213564
1615_0	1104931	1105284
3762_0	199372	199427
3762_1	199427	199626
1896_0	1163774	1163882
4427_0	544792	544889
563_0	730196	730475
3220_0	1027834	1027965
1354_0	747814	747950
4929_0	68393	68557
1354_1	747950	748020
4929_1	68557	68633
6032_0	118018	118087
2019_0	196028	196267
6032_1	118087	118321
6032_2	118321	118419
4166_0	928168	928367
3722_0	289211	289333
3722_1	289333	289473
1856_0	1267777	1267876
1093_0	127923	128173
4668_0	489070	489339
523_0	641140	641403
1314_0	850538	850662
3461_0	286597	286764
1595_0	534477	534567
4126_0	1020700	1020790
4126_1	1020790	1021057
6273_0	526767	526927
1816_0	1374233	1374326
262_0	605386	605574
3963_0	1215027	1215270
3963_1	1215270	1215418
1053_0	1232412	1232629
4628_0	592895	593096
4628_1	593096	593155
764_0	1076742	1077009
1555_0	840424	840543
1555_1	840543	840672
6233_0	437891	438165
4367_0	575541	575811
222_0	713820	713949
3923_0	1113587	1113843
222_1	713949	714018
